Wall time,Step,Value
1779700975.0722897,3,-0.008190535940229893
1779700983.9519331,5,-0.007327699568122625
1779700987.4434628,6,-0.008706009946763515
1779700995.702251,8,-0.00695426668971777
1779701002.5856953,10,-0.008947518654167652
1779701006.1471174,11,-0.008556018583476543
1779701011.6465871,12,-0.008477301336824894
1779701015.1172712,13,-0.010184082202613354
1779701018.6021175,14,-0.008975875563919544
1779701022.1525722,15,-0.009891419671475887
1779701027.5468388,16,-0.008954205550253391
1779701031.0799198,17,-0.009605441242456436
1779701034.7862482,18,-0.009881943464279175
1779701038.210965,19,-0.010698340833187103
1779701043.523036,20,-0.008515235967934132
1779701050.6548066,22,-0.008261759765446186
1779701057.527058,24,-0.009109105914831161
1779701062.9656045,25,-0.009980062954127789
1779701082.6263332,30,-0.00821056216955185
1779701086.2009146,31,-0.00951651856303215
1779701089.828566,32,-0.010023467242717743
1779701095.6753979,33,-0.008533952757716179
1779701099.1945403,34,-0.009855082258582115
1779701106.1849818,36,-0.009437049739062786
1779701118.5105805,39,-0.006852190475910902
1779701122.1645198,40,-0.008750412613153458
1779701130.9676192,42,-0.009766830131411552
1779701134.4298542,43,-0.008367381989955902
1779701137.9562612,44,-0.008906410075724125
1779701143.2442565,45,-0.008367947302758694
1779701150.4499998,47,-0.007170384284108877
1779701157.762952,49,-0.008418322540819645
1779701162.962289,50,-0.00780889205634594
1779701173.4470923,53,-0.006344940979033709
1779701178.4682603,54,-0.0077061899937689304
1779701181.8562088,55,-0.006898035760968924
1779701185.202814,56,-0.006778523791581392
1779701188.6130373,57,-0.006434392184019089
1779701200.3582418,60,-0.006638540420681238
1779701203.712845,61,-0.007823694497346878
1779701212.2927551,63,-0.007974422536790371
1779701215.7195787,64,-0.006813534069806337
1779701219.1528587,65,-0.0069877393543720245
1779701224.1095757,66,-0.008138355799019337
1779701227.573919,67,-0.008205021731555462
1779701230.9002502,68,-0.0074187591671943665
1779701234.2499864,69,-0.00784259382635355
1779701243.299812,71,-0.009017395786941051
1779701247.0529797,72,-0.008795076981186867
1779701250.702937,73,-0.008825753815472126
1779701254.536345,74,-0.008200391195714474
1779701264.1797504,76,-0.008224665187299252
1779701271.4702652,78,-0.007328464649617672
1779701276.9695895,79,-0.006717450451105833
