Wall time,Step,Value
1779717932.3094726,0,-0.0030156222637742758
1779717934.793702,1,-0.008577552624046803
1779717937.2536156,2,-0.013789916411042213
1779717939.713982,3,-0.02015717327594757
1779717942.089027,4,-0.02501373551785946
1779717944.4810603,5,-0.03066151589155197
1779717946.9072015,6,-0.03407645598053932
1779717949.3625689,7,-0.039780959486961365
1779717954.6614258,8,-0.043144240975379944
1779717956.119995,9,-0.048998504877090454
1779717957.5613258,10,-0.052365466952323914
1779717959.0081723,11,-0.057910285890102386
1779717960.4180317,12,-0.05122898146510124
1779717961.8128092,13,-0.05509481579065323
1779717963.1996765,14,-0.06525122374296188
1779717964.6575525,15,-0.06780742853879929
1779717966.135023,16,-0.06154802441596985
1779717967.6198866,17,-0.06264282017946243
1779717969.1223767,18,-0.06473401933908463
1779717970.6727128,19,-0.05458873510360718
1779717972.185567,20,-0.056097209453582764
1779717973.7839038,21,-0.04726935550570488
1779717975.2888045,22,-0.05265871435403824
1779717976.833684,23,-0.054290078580379486
1779717978.3523917,24,-0.0358029305934906
1779717979.855801,25,-0.045632898807525635
1779717981.3264632,26,-0.04629949852824211
1779717982.792438,27,-0.04262919723987579
1779717984.2426045,28,-0.02883121743798256
1779717985.7227018,29,-0.04709840565919876
1779717987.192452,30,-0.040603961795568466
1779717988.67227,31,-0.05057360231876373
1779717990.0924137,32,-0.0462460033595562
1779717991.4790537,33,-0.041779547929763794
1779717992.8825717,34,-0.04951922222971916
1779717994.2428474,35,-0.06741210073232651
1779717995.6070554,36,-0.05140082165598869
1779717996.9208193,37,-0.05163998156785965
1779717998.1691246,38,-0.06940247118473053
1779717999.5562274,39,-0.09499257802963257
1779718000.9700189,40,-0.08555494248867035
1779718002.448907,41,-0.055967919528484344
1779718003.9052541,42,-0.08374778926372528
1779718005.3295863,43,-0.08523794263601303
1779718006.813973,44,-0.1091526672244072
1779718008.306874,45,-0.08881615102291107
1779718009.7752242,46,-0.07812851667404175
1779718011.216123,47,-0.08515173196792603
1779718012.6534553,48,-0.07314786314964294
1779718014.1293137,49,-0.08074821531772614
1779718015.6322212,50,-0.06068457290530205
1779718017.1590784,51,-0.08453266322612762
1779718018.6038702,52,-0.06190509721636772
1779718020.1192195,53,-0.10588614642620087
1779718021.7327425,54,-0.07498331367969513
1779718023.2689776,55,-0.05583697557449341
