Wall time,Step,Value
1779700975.0567908,3,-0.019629240036010742
1779700983.9404333,5,-0.030295446515083313
1779700987.433121,6,-0.034876879304647446
1779700995.6862233,8,-0.043439410626888275
1779701002.5726967,10,-0.05247679352760315
1779701006.1316092,11,-0.05834205448627472
1779701011.6335835,12,-0.06346157193183899
1779701015.1047707,13,-0.0671098381280899
1779701018.5886178,14,-0.07390119135379791
1779701022.1385682,15,-0.07422618567943573
1779701027.5358346,16,-0.08048035949468613
1779701031.066922,17,-0.08309657871723175
1779701034.7728825,18,-0.07892193645238876
1779701038.198964,19,-0.09000524133443832
1779701043.511035,20,-0.09386591613292694
1779701050.6413066,22,-0.1062396764755249
1779701057.5110579,24,-0.11376141011714935
1779701062.955105,25,-0.11698057502508163
1779701082.6163042,30,-0.11307357251644135
1779701086.18946,31,-0.12626764178276062
1779701089.8180652,32,-0.12063513696193695
1779701095.6613984,33,-0.10632088035345078
1779701099.178541,34,-0.1079886183142662
1779701106.1744819,36,-0.08654897660017014
1779701118.495584,39,-0.09096705168485641
1779701122.1530235,40,-0.10102113336324692
1779701130.9496245,42,-0.079303078353405
1779701134.4168518,43,-0.07705563306808472
1779701137.939699,44,-0.07454293966293335
1779701143.232178,45,-0.0618886724114418
1779701150.4344947,47,-0.09879344701766968
1779701157.7528524,49,-0.07343174517154694
1779701162.9494843,50,-0.09031616151332855
1779701173.4370484,53,-0.12460596859455109
1779701178.4562013,54,-0.09731592983007431
1779701181.8445106,55,-0.11740481108427048
1779701185.1895432,56,-0.12751686573028564
1779701188.5994422,57,-0.13019625842571259
1779701200.3463342,60,-0.1282651424407959
1779701203.699501,61,-0.1378364861011505
1779701212.2794676,63,-0.09653985500335693
1779701215.7063396,64,-0.07043512165546417
1779701219.1429513,65,-0.07518427819013596
1779701224.100273,66,-0.07526346296072006
1779701227.5583816,67,-0.07449612021446228
1779701230.8861747,68,-0.07225143164396286
1779701234.2395084,69,-0.08584211766719818
1779701243.283127,71,-0.07460958510637283
1779701247.0366716,72,-0.0751233920454979
1779701250.6896043,73,-0.06966441869735718
1779701254.5233119,74,-0.08165418356657028
1779701264.1630132,76,-0.07401323318481445
1779701271.4496167,78,-0.07036195695400238
1779701276.9595866,79,-0.09425269067287445
1779701283.9930573,81,-0.08396055549383163
1779701287.6129801,82,-0.09431247413158417
1779701296.4496214,84,-0.12268190830945969
1779701300.0229752,85,-0.11294128745794296
1779701303.6096778,86,-0.11782567203044891
1779701309.3496706,87,-0.07562024891376495
1779701313.0030606,88,-0.09376037120819092
1779701316.6272392,89,-0.08431573957204819
1779701325.7331157,91,-0.10245086997747421
1779701329.3228652,92,-0.10139816999435425
1779701332.9329834,93,-0.08766555786132812
1779701336.4462218,94,-0.08693855255842209
1779701355.716825,99,-0.09606515616178513
1779701360.982999,100,-0.07693321257829666
1779701368.1529527,102,-0.06364002823829651
1779701376.5928717,104,-0.08212567865848541
1779701380.0170388,105,-0.08055680990219116
1779701383.4729567,106,-0.0879112035036087
1779701395.4662116,109,-0.08578832447528839
1779701411.056343,113,-0.09132768958806992
1779701423.5028841,116,-0.09764103591442108
1779701430.6605623,118,-0.08563750237226486
1779701434.2632525,119,-0.06929714977741241
1779701439.4497995,120,-0.08481254428625107
1779701453.3995442,124,-0.07980586588382721
1779701458.4928327,125,-0.06375928223133087
1779701461.9462223,126,-0.10053100436925888
1779701465.444801,127,-0.08614488691091537
1779701474.1496806,129,-0.08447206020355225
1779701477.8542602,130,-0.08687777817249298
1779701490.6214669,133,-0.07668083161115646
1779701501.700362,136,-0.07573369145393372
1779701506.999419,137,-0.10204052925109863
1779701514.1929972,139,-0.09029008448123932
1779701523.222962,141,-0.0869780033826828
1779701526.9032536,142,-0.07641898840665817
1779701530.5166366,143,-0.080500528216362
1779701534.1063786,144,-0.08255238085985184
1779701539.3996422,145,-0.06649088114500046
1779701542.936961,146,-0.0764351487159729
1779701550.1617575,148,-0.07740700244903564
1779701553.7837067,149,-0.08335947245359421
1779701559.106438,150,-0.10569649934768677
