Wall time,Step,Value
1779700975.0562906,3,-0.018953027203679085
1779700983.9394295,5,-0.025143321603536606
1779700987.431696,6,-0.02602265775203705
1779700995.6862233,8,-0.03396034613251686
1779701002.5716946,10,-0.0400482639670372
1779701006.1311076,11,-0.03840954601764679
1779701011.6315827,12,-0.04649735987186432
1779701015.1037714,13,-0.04386641085147858
1779701018.58712,14,-0.05114513635635376
1779701022.1375654,15,-0.044559359550476074
1779701027.5353367,16,-0.049103014171123505
1779701031.065916,17,-0.051826633512973785
1779701034.7728825,18,-0.04964834079146385
1779701038.1969655,19,-0.05965892970561981
1779701043.510535,20,-0.05947713553905487
1779701050.640306,22,-0.06394118070602417
1779701057.5095584,24,-0.06575189530849457
1779701062.9536066,25,-0.06990419328212738
1779701082.6131287,30,-0.06146063655614853
1779701086.1889272,31,-0.0756291002035141
1779701089.8170643,32,-0.06887158751487732
1779701095.6603985,33,-0.05890310928225517
1779701099.1770403,34,-0.05978081747889519
1779701106.173483,36,-0.04812047630548477
1779701118.494584,39,-0.049161843955516815
1779701122.1520202,40,-0.055898603051900864
1779701130.9491198,42,-0.04161779582500458
1779701134.415349,43,-0.0401545986533165
1779701137.939699,44,-0.041011687368154526
1779701143.231628,45,-0.036058589816093445
1779701150.4339993,47,-0.052161283791065216
1779701157.7495706,49,-0.03727881237864494
1779701162.946254,50,-0.0457594096660614
1779701173.4362817,53,-0.06278382241725922
1779701178.4562013,54,-0.05081971734762192
1779701181.843452,55,-0.06061690300703049
1779701185.1883156,56,-0.057209841907024384
1779701188.5994422,57,-0.06404179334640503
1779701200.3463342,60,-0.053446393460035324
1779701203.699501,61,-0.0592622309923172
1779701212.2794676,63,-0.04425714537501335
1779701215.7063396,64,-0.0337471105158329
1779701219.1429513,65,-0.03436011075973511
1779701224.0996568,66,-0.04135037958621979
1779701227.557171,67,-0.03371042758226395
1779701230.8861747,68,-0.03420104458928108
1779701234.2387657,69,-0.04340440034866333
1779701243.283127,71,-0.03857358545064926
1779701247.0366716,72,-0.038585320115089417
1779701250.6896043,73,-0.038475628942251205
1779701254.5233119,74,-0.038916196674108505
1779701264.1597185,76,-0.03596321865916252
1779701271.4496167,78,-0.037641383707523346
1779701276.9562614,79,-0.04604491591453552
1779701283.9901996,81,-0.04291670769453049
1779701287.6097534,82,-0.04599371179938316
1779701296.4496214,84,-0.05466821789741516
1779701300.0229752,85,-0.05357281491160393
1779701303.6096778,86,-0.05575774237513542
1779701309.3496706,87,-0.04056643322110176
1779701313.0030606,88,-0.0473719947040081
1779701316.626133,89,-0.04270319268107414
1779701325.7331157,91,-0.05114854499697685
1779701329.3228652,92,-0.05228021368384361
1779701332.9296637,93,-0.04648669809103012
1779701336.4462218,94,-0.042941655963659286
1779701355.716825,99,-0.05501001700758934
1779701360.982999,100,-0.042567577213048935
1779701368.149684,102,-0.03883800655603409
1779701376.5928717,104,-0.04804053157567978
1779701380.0170388,105,-0.04609658569097519
1779701383.4694986,106,-0.04486067220568657
1779701395.4629097,109,-0.05396406352519989
1779701411.056343,113,-0.05793493986129761
1779701423.499617,116,-0.05681215226650238
1779701430.6595628,118,-0.05056307837367058
1779701434.2632525,119,-0.04649217054247856
1779701439.4463274,120,-0.05361371487379074
1779701453.3995442,124,-0.05102968215942383
1779701458.4896173,125,-0.04561391472816467
1779701461.9462223,126,-0.05944981426000595
1779701465.4427962,127,-0.05531349778175354
1779701474.1464224,129,-0.055879153311252594
1779701477.8532605,130,-0.06356704235076904
1779701490.620459,133,-0.0558663010597229
1779701501.700362,136,-0.05306708812713623
1779701506.998419,137,-0.06925271451473236
1779701514.1929972,139,-0.06244770810008049
1779701523.2203803,141,-0.06073532626032829
1779701526.9022534,142,-0.050175659358501434
1779701530.5132263,143,-0.05902718007564545
1779701534.1063786,144,-0.054723694920539856
1779701539.3964567,145,-0.04488129913806915
1779701542.9364185,146,-0.05680515617132187
1779701550.1607573,148,-0.05685080587863922
1779701553.7837067,149,-0.0552828423678875
1779701559.103144,150,-0.06754946708679199
1779701562.743177,151,-0.05874403566122055
1779701570.0065112,153,-0.05549697205424309
1779701575.3263268,154,-0.05760745704174042
1779701578.9996748,155,-0.06266790628433228
1779701586.2196953,157,-0.06731787323951721
1779701591.4933238,158,-0.06726613640785217
1779701595.06306,159,-0.06534664332866669
1779701602.2763937,161,-0.06653456389904022
