Wall time,Step,Value
1779700975.0577922,3,-0.0001497527991887182
1779700983.9409335,5,-0.00027525375480763614
1779700987.4347217,6,-0.00032470159931108356
1779700995.6896646,8,-0.0004398250603117049
1779701002.5736947,10,-0.000521460548043251
1779701006.1336074,11,-0.0005664911586791277
1779701011.6350815,12,-0.0006015216931700706
1779701015.106772,13,-0.000655096024274826
1779701018.5906184,14,-0.0007592336041852832
1779701022.139572,15,-0.0006584400543943048
1779701027.536835,16,-0.0008039064705371857
1779701031.0679193,17,-0.0008812618325464427
1779701034.7728825,18,-0.0008081992855295539
1779701038.199965,19,-0.0009762616828083992
1779701043.5120351,20,-0.001003494020551443
1779701050.6423066,22,-0.0010816899593919516
1779701057.5125587,24,-0.0012148433597758412
1779701062.9556053,25,-0.0012340724933892488
1779701082.6163042,30,-0.0012582230847328901
1779701086.1903422,31,-0.0013573694741353393
1779701089.819064,32,-0.0012700525112450123
1779701095.662898,33,-0.0012037635315209627
1779701099.179547,34,-0.001236356794834137
1779701106.1749816,36,-0.0009998850291594863
1779701118.4960868,39,-0.0010457874741405249
1779701122.1540227,40,-0.001168867340311408
1779701130.9516191,42,-0.0008724977960810065
1779701134.418849,43,-0.0008744162041693926
1779701137.9430451,44,-0.000808060634881258
1779701143.2336938,45,-0.0007489972631447017
1779701150.435495,47,-0.001181531697511673
1779701157.7528524,49,-0.0008608826901763678
1779701162.9494843,50,-0.0011056149378418922
1779701173.4370484,53,-0.0016346750780940056
1779701178.4562013,54,-0.0011996784014627337
1779701181.8461607,55,-0.0016028210520744324
1779701185.1906776,56,-0.0013501428766176105
1779701188.603218,57,-0.0016351784579455853
1779701200.3463342,60,-0.001544989994727075
1779701203.699501,61,-0.0014953248901292682
1779701212.2814753,63,-0.0010077967308461666
1779701215.7095618,64,-0.0008425007108598948
1779701219.1429513,65,-0.0009284656844101846
1779701224.1013088,66,-0.0009503461187705398
1779701227.560367,67,-0.0008284631185233593
1779701230.8861747,68,-0.0008265624637715518
1779701234.2405524,69,-0.001073844963684678
1779701243.286421,71,-0.0008742424543015659
1779701247.0366716,72,-0.0009237866615876555
1779701250.6896043,73,-0.0008625299669802189
1779701254.5265026,74,-0.001032987842336297
1779701264.1630132,76,-0.0008776874747127295
1779701271.4496167,78,-0.0008569922647438943
1779701276.9595866,79,-0.001136494567617774
1779701283.9930573,81,-0.0009667266858741641
1779701287.6129801,82,-0.001120787113904953
1779701296.4529176,84,-0.0014658670406788588
1779701300.0262809,85,-0.0014636442065238953
1779701303.6096778,86,-0.0014744270592927933
1779701309.3496706,87,-0.0009284426341764629
1779701313.0062919,88,-0.0012797652743756771
1779701316.628344,89,-0.0010565221309661865
1779701325.7363718,91,-0.001277171541005373
1779701329.3228652,92,-0.0012917540734633803
1779701332.9329834,93,-0.0011587555054575205
1779701336.4496958,94,-0.0010342395398765802
1779701355.7196367,99,-0.0012084220070391893
1779701360.982999,100,-0.0009442367008887231
1779701368.1529527,102,-0.0008660340681672096
1779701376.5928717,104,-0.0010736404219642282
1779701380.0170388,105,-0.0010681148851290345
1779701383.4736204,106,-0.0011444163974374533
1779701395.4662116,109,-0.0011527396272867918
1779701411.056343,113,-0.001287209801375866
1779701423.5028841,116,-0.0013068969128653407
1779701430.6610613,118,-0.0011848084395751357
1779701434.2651725,119,-0.0009302635444328189
1779701439.4510164,120,-0.0011809853604063392
1779701453.4029224,124,-0.001161952968686819
1779701458.4928327,125,-0.0009739368106238544
1779701461.9462223,126,-0.0014798580668866634
1779701465.444801,127,-0.001180504565127194
1779701474.1496806,129,-0.0012533501721918583
1779701477.856261,130,-0.001292748493142426
1779701490.6224656,133,-0.0011689818929880857
1779701501.700362,136,-0.0010995952179655433
1779701507.001419,137,-0.0015844996087253094
1779701514.1929972,139,-0.0013124523684382439
1779701523.222962,141,-0.001288222731091082
1779701526.904254,142,-0.0011016763746738434
1779701530.5166366,143,-0.0012266004923731089
1779701534.1063786,144,-0.001194461714476347
1779701539.3996422,145,-0.0009897782001644373
1779701542.938063,146,-0.001221092650666833
1779701550.1617575,148,-0.0011295601725578308
1779701553.7857082,149,-0.0011830396251752973
1779701559.106438,150,-0.0014716945588588715
1779701562.7464988,151,-0.0013481995556503534
1779701570.0097752,153,-0.0011977504473179579
1779701575.3263268,154,-0.00134329404681921
1779701579.0029237,155,-0.0012970888055860996
1779701586.2230232,157,-0.0012684440007433295
1779701591.4963763,158,-0.0012964089401066303
1779701595.0663612,159,-0.0014356117462739348
1779701602.2763937,161,-0.001449301722459495
1779701607.7596133,162,-0.0012219573836773634
1779701615.0196414,164,-0.0014011897146701813
1779701618.5930326,165,-0.0016246000304818153
1779701627.3694348,167,-0.001075594685971737
1779701630.9663606,168,-0.0011008777655661106
1779701634.5696387,169,-0.001343598822131753
1779701643.6596746,171,-0.001197246601805091
1779701660.052936,175,-0.0014241825556382537
1779701663.7330408,176,-0.0012517469003796577
1779701667.353009,177,-0.001730722258798778
1779701670.9496167,178,-0.0013567646965384483
1779701679.7896616,180,-0.0010567200370132923
1779701683.3396213,181,-0.001268633408471942
1779701692.1568522,183,-0.0011783302761614323
1779701699.4396636,185,-0.0013220456894487143
1779701703.0465083,186,-0.0012882011942565441
1779701708.3463671,187,-0.0012818295508623123
1779701711.9563653,188,-0.001203495659865439
1779701719.189631,190,-0.0011478676460683346
1779701724.4657834,191,-0.001501652179285884
1779701751.3397071,198,-0.0015858020633459091
1779701767.3995996,202,-0.0017511596670374274
1779701779.9829426,205,-0.001491365022957325
1779701783.5431423,206,-0.0015609541442245245
1779701787.1002026,207,-0.0016715989913791418
1779701792.4496124,208,-0.0016733170486986637
1779701808.7796705,212,-0.001338298781774938
1779701812.3528433,213,-0.0014752328861504793
1779701815.9704525,214,-0.001465852139517665
1779701819.9333022,215,-0.0015177115565165877
1779701833.5759177,218,-0.0015826160088181496
1779701837.4366438,219,-0.0014229211956262589
1779701843.1997154,220,-0.0011508087627589703
1779701846.936402,221,-0.0011520794359967113
1779701850.6463988,222,-0.001608630525879562
1779701854.4164724,223,-0.0015672150766476989
1779701863.7632332,225,-0.001644618110731244
1779701867.5630724,226,-0.0016949757700785995
1779701871.2563996,227,-0.00173896923661232
1779701880.5663888,229,-0.0017463847761973739
1779701884.2597558,230,-0.0017659885343164206
1779701888.0097492,231,-0.0015205712988972664
1779701891.7363644,232,-0.0018759393133223057
1779701897.256352,233,-0.0014528784668073058
1779701900.969778,234,-0.0015683870296925306
1779701914.0397046,237,-0.0016978870844468474
1779701917.7964597,238,-0.0017100060358643532
