Wall time,Step,Value
1779700975.0727959,3,-1.1779041290283203
1779700983.9519331,5,-1.5571917295455933
1779700987.4461205,6,-1.5314974784851074
1779700995.702251,8,-1.6457160711288452
1779701002.5861948,10,-2.020552158355713
1779701006.1471174,11,-2.161602020263672
1779701011.6470935,12,-2.072707414627075
1779701015.1172712,13,-1.9548611640930176
1779701018.6026185,14,-2.1989328861236572
1779701022.1530726,15,-2.0311617851257324
1779701027.547338,16,-2.0141191482543945
1779701031.0804198,17,-1.940648078918457
1779701034.7862482,18,-2.195312738418579
1779701038.210965,19,-2.615128517150879
1779701043.5235353,20,-2.7060322761535645
1779701050.6553066,22,-1.9360536336898804
1779701057.527058,24,-2.2629334926605225
1779701062.966107,25,-2.3776538372039795
1779701082.6263332,30,-1.9318804740905762
1779701086.2009146,31,-1.687745213508606
1779701089.8290644,32,-1.4377180337905884
1779701095.6758978,33,-1.766230583190918
1779701099.1950476,34,-1.7377337217330933
1779701106.1854825,36,-1.4121958017349243
1779701118.511081,39,-0.22584456205368042
1779701122.1650205,40,-0.13966526091098785
1779701130.9681191,42,-0.22012384235858917
1779701134.4298542,43,0.7055250406265259
1779701137.9562612,44,0.5907226204872131
1779701143.2447815,45,0.49611738324165344
1779701150.4504998,47,0.3787029981613159
1779701157.762952,49,0.8891083598136902
1779701162.962289,50,0.8260298371315002
1779701173.448093,53,0.049360696226358414
1779701178.4692597,54,0.08233632147312164
1779701181.8562088,55,0.16894541680812836
1779701185.202814,56,0.5060170292854309
1779701188.6130373,57,0.7882148027420044
1779701200.3582418,60,2.0410709381103516
1779701203.712845,61,2.7044742107391357
1779701212.2937622,63,2.2649261951446533
1779701215.7195787,64,2.0772972106933594
1779701219.156242,65,1.3551799058914185
1779701224.1095757,66,1.6356022357940674
1779701227.5749173,67,1.9760913848876953
1779701230.90287,68,2.080076217651367
1779701234.2510357,69,1.3888804912567139
1779701243.299812,71,2.243380546569824
1779701247.0536768,72,2.3308026790618896
1779701250.702937,73,1.5240521430969238
1779701254.536345,74,1.2825522422790527
1779701264.1797504,76,2.1705784797668457
1779701271.4702652,78,2.071714162826538
1779701276.9695895,79,3.087531328201294
1779701284.0063872,81,3.5235769748687744
1779701287.6229322,82,3.375030040740967
1779701296.4695418,84,4.130563735961914
1779701300.0400424,85,4.195315837860107
1779701303.6229992,86,3.870077610015869
1779701309.364699,87,3.152980327606201
1779701313.0163233,88,2.8934710025787354
1779701316.643269,89,2.7642345428466797
1779701325.7466476,91,2.705554962158203
1779701329.3395314,92,3.322402238845825
1779701332.9462545,93,3.1613411903381348
1779701336.4597313,94,3.241056442260742
1779701355.729679,99,3.132133722305298
1779701360.9995875,100,2.8982746601104736
1779701368.1663692,102,2.075920343399048
1779701376.6096475,104,2.906160831451416
1779701380.0312686,105,3.0901236534118652
1779701383.4835703,106,3.1139392852783203
1779701395.4795272,109,2.2050609588623047
1779701411.0696847,113,3.5294156074523926
1779701423.5130405,116,3.8378031253814697
1779701430.678062,118,3.717432975769043
1779701434.2795072,119,3.502537727355957
1779701439.4651568,120,4.145658016204834
1779701453.4161937,124,2.633300304412842
1779701458.5062115,125,3.0723705291748047
1779701461.9662392,126,3.306264877319336
1779701465.4594796,127,3.5614473819732666
1779701474.166229,129,4.18728494644165
1779701477.8702614,130,4.1758713722229
1779701490.6334639,133,4.823785305023193
1779701501.716328,136,3.278794527053833
1779701507.0144196,137,4.142312049865723
1779701514.2063055,139,4.479859828948975
1779701523.2329535,141,4.07113790512085
1779701526.9172544,142,4.536280155181885
1779701530.526219,143,4.767154693603516
1779701534.1162345,144,5.308130741119385
1779701539.4178016,145,3.9843363761901855
1779701542.9506757,146,3.7928435802459717
1779701550.173757,148,4.315382957458496
1779701553.8012164,149,5.373859405517578
1779701559.120564,150,5.979063510894775
1779701562.7563403,151,6.266739368438721
1779701570.019744,153,5.11909294128418
1779701575.342942,154,5.599335193634033
1779701579.016238,155,5.907321929931641
1779701586.236278,157,6.04538106918335
1779701591.509688,158,6.328591823577881
1779701595.0795445,159,5.609973430633545
1779701602.286347,161,7.331335067749023
1779701607.7729578,162,6.786621570587158
1779701615.0297465,164,4.803450584411621
1779701618.6062639,165,5.8254218101501465
1779701627.3830013,167,5.7318525314331055
1779701630.9796443,168,5.951136589050293
1779701634.5797174,169,6.440171718597412
1779701643.6730108,171,6.506993293762207
1779701660.0696497,175,6.39069938659668
1779701663.7464497,176,6.856759071350098
1779701667.3695638,177,6.4895195960998535
1779701670.966275,178,6.938422203063965
1779701679.7987585,180,7.284566402435303
1779701683.3529778,181,6.961258411407471
1779701692.1699333,183,5.963344097137451
1779701699.4529805,185,5.930655002593994
1779701703.0622509,186,5.496804237365723
1779701708.3596826,187,6.064699172973633
1779701711.969549,188,5.926146507263184
1779701719.2029839,190,5.554743766784668
1779701724.4762723,191,5.59586763381958
1779701751.349685,198,7.309320449829102
1779701767.412964,202,7.447249889373779
1779701779.993034,205,7.7558135986328125
1779701783.5554633,206,7.429348945617676
1779701787.1098475,207,7.385455131530762
1779701792.4629052,208,7.3527984619140625
1779701808.7929459,212,7.373898029327393
1779701812.3662477,213,7.420903205871582
1779701815.9829671,214,6.311371803283691
1779701819.950343,215,6.222891807556152
1779701833.592672,218,7.072408199310303
1779701837.453043,219,6.97001314163208
1779701843.2129576,220,6.394338607788086
1779701846.9463913,221,6.863901138305664
1779701850.656609,222,6.417594909667969
1779701854.426351,223,6.857067584991455
1779701863.7797453,225,6.9780473709106445
1779701867.5729945,226,7.260863780975342
1779701871.2703004,227,7.6482648849487305
1779701880.5796616,229,7.100449085235596
1779701884.2764225,230,6.718177795410156
1779701888.0230238,231,6.449103355407715
1779701891.7497385,232,6.871723175048828
1779701897.2663023,233,6.693338871002197
1779701900.9830391,234,7.084928035736084
1779701914.0595853,237,7.448063850402832
1779701917.8129961,238,7.856468200683594
1779701925.3029315,240,9.247773170471191
1779701942.219654,244,8.705766677856445
1779701947.9797714,245,8.809859275817871
1779701955.5164165,247,9.429856300354004
1779701959.2596366,248,8.853285789489746
1779701962.9034464,249,8.318792343139648
1779701968.7664466,250,7.329687595367432
1779701972.5177023,251,7.586706638336182
1779701976.3231688,252,8.010628700256348
1779701989.5030754,255,7.51350212097168
1779702002.626413,258,8.405189514160156
1779702006.3497355,259,8.595964431762695
1779702010.046261,260,8.70681095123291
1779702013.7563868,261,8.513510704040527
1779702023.0896974,263,8.131490707397461
1779702039.963162,267,9.243327140808105
1779702047.6030774,269,9.614701271057129
1779702057.0131958,271,8.962522506713867
1779702060.7731082,272,9.244508743286133
1779702064.534274,273,9.010823249816895
1779702068.286557,274,8.314064025878906
1779702073.839651,275,8.601259231567383
1779702081.4296162,277,7.6813273429870605
1779702085.180269,278,8.2620849609375
1779702094.7697701,280,9.140684127807617
1779702102.293042,282,7.840552806854248
1779702111.6496465,284,8.534064292907715
1779702132.7265234,289,9.29230785369873
1779702143.293116,291,9.29275894165039
1779702147.4164171,292,9.676283836364746
1779702154.8763483,294,9.342944145202637
1779702160.3365037,295,9.306154251098633
1779702164.1097078,296,9.098258972167969
1779702167.7296648,297,9.756329536437988
1779702171.3829572,298,10.27492904663086
1779702175.016661,299,9.759942054748535
1779702180.403041,300,8.88450813293457
1779702184.0630987,301,8.684530258178711
1779702187.7466207,302,7.95536994934082
1779702191.426333,303,6.891908168792725
1779702207.6663,307,9.003532409667969
1779702213.1229775,308,9.19245433807373
1779702220.4563558,310,8.41355037689209
1779702232.982941,313,9.74685001373291
1779702249.1496978,317,8.751814842224121
1779702252.7930722,318,8.799332618713379
1779702256.4497042,319,9.009322166442871
1779702261.7896907,320,8.793691635131836
1779702269.0799434,322,8.929529190063477
1779702272.682955,323,9.60138988494873
1779702276.3297372,324,10.264703750610352
1779702281.7330534,325,10.818879127502441
1779702285.3263223,326,11.278863906860352
1779702289.0297506,327,10.219289779663086
1779702301.6063185,330,9.169150352478027
1779702305.2330704,331,9.056121826171875
1779702314.1307573,333,9.240650177001953
1779702321.41633,335,10.4750394821167
1779702330.3930395,337,10.184176445007324
1779702337.6065145,339,8.968655586242676
1779702346.54632,341,9.202593803405762
1779702350.1530316,342,9.836456298828125
1779702353.7730393,343,10.209199905395508
1779702357.396303,344,10.500151634216309
1779702362.6838706,345,10.69946002960205
1779702366.2896082,346,10.348978996276855
1779702369.873011,347,10.493365287780762
1779702373.4997044,348,10.519633293151855
1779702377.153149,349,10.63201904296875
1779702386.056407,351,10.424899101257324
1779702393.3130736,353,9.724594116210938
1779702398.539685,354,9.93248176574707
1779702405.7530992,356,10.488266944885254
1779702414.6197834,358,10.019619941711426
1779702418.2530007,359,10.02901554107666
1779702421.8996992,360,10.341201782226562
1779702425.4830072,361,10.424569129943848
1779702430.769655,362,10.095406532287598
1779702434.3930595,363,9.460247039794922
1779702438.0230064,364,10.4415283203125
1779702441.6297219,365,10.495112419128418
1779702446.8730633,366,11.311118125915527
1779702450.5330641,367,10.930006980895996
1779702454.1763458,368,10.525760650634766
1779702463.1130028,370,10.900793075561523
1779702466.7098577,371,11.267021179199219
1779702473.8208828,373,10.180131912231445
1779705793.9461527,375,10.383835792541504
1779705797.679058,376,11.1002779006958
1779705801.3656287,377,11.244176864624023
1779705805.0923553,378,11.040628433227539
1779705810.5463262,379,11.481401443481445
1779705818.0725381,381,11.154841423034668
1779705821.8686671,382,11.041763305664062
1779705830.8929248,384,10.780250549316406
1779705834.6861556,385,9.85776424407959
1779705838.4290645,386,10.01462173461914
1779705843.9128153,387,9.619041442871094
1779705847.6150336,388,9.969215393066406
1779705855.0701,390,10.505280494689941
1779705860.5009325,391,10.56334400177002
1779705864.2601755,392,10.011895179748535
1779705867.928684,393,10.197550773620605
1779705887.8393552,398,9.526276588439941
1779705891.391604,399,9.959219932556152
1779705904.3557749,402,10.9718599319458
1779705908.335867,403,11.009451866149902
1779705917.963504,405,9.318785667419434
1779705921.7262342,406,9.722616195678711
1779705931.4025207,408,10.95151138305664
1779705939.0491612,410,10.404062271118164
1779705958.7129214,415,10.045166969299316
1779705964.2049663,416,9.377532005310059
1779705982.651837,419,10.689902305603027
1779705991.9046626,420,11.100968360900879
1779705999.6989207,421,10.979913711547852
1779706007.4965286,422,10.930607795715332
1779706015.5422494,423,11.215189933776855
1779706023.5222936,424,11.387147903442383
1779706041.2597682,426,10.946837425231934
1779706056.9389608,428,9.580639839172363
1779706073.055582,430,8.848913192749023
1779706087.6590366,432,10.227712631225586
1779706111.35224,435,10.426838874816895
1779706118.8090696,436,10.583999633789062
1779706142.9058676,439,10.09638500213623
1779706150.2490203,440,9.904315948486328
1779706159.1890025,441,10.442168235778809
1779706167.175905,442,10.976859092712402
1779706183.1303356,444,9.983985900878906
1779706192.6960208,445,9.79604434967041
1779706216.1123815,448,9.106816291809082
1779706223.9058428,449,9.933366775512695
1779706241.1756687,451,11.172379493713379
1779706266.1022592,454,10.2079439163208
1779706289.3958066,457,10.405901908874512
1779706298.889071,458,10.033198356628418
1779706306.605633,459,10.193222045898438
1779706314.3389487,460,10.942790985107422
1779706322.1124036,461,10.923563003540039
1779706339.4691381,463,10.608890533447266
1779706347.418988,464,10.928016662597656
1779706355.3257575,465,10.695901870727539
1779706364.9196305,466,10.286087989807129
1779706372.7250137,467,9.558414459228516
1779706380.2009416,468,9.297102928161621
1779706387.5791676,469,9.609427452087402
1779706403.795644,471,10.217639923095703
1779706418.5955527,473,9.827128410339355
1779706425.855636,474,10.510002136230469
1779706450.2623878,477,10.555981636047363
1779706458.0690172,478,10.692001342773438
1779706489.3425963,482,10.644773483276367
1779706513.3888476,485,11.896673202514648
1779706520.7889628,486,11.79111099243164
1779706537.7601633,488,11.806061744689941
1779706545.5943077,489,10.959753036499023
1779706563.0158954,491,10.339009284973145
1779706570.8637717,492,9.57292366027832
1779706578.6834173,493,10.287423133850098
1779706603.1336002,496,10.344979286193848
1779706611.1169176,497,10.218456268310547
1779706626.9405842,499,10.406593322753906
1779706660.1125062,503,8.610533714294434
1779706685.2732112,506,10.488011360168457
1779706692.7205422,507,9.898170471191406
1779706702.3457823,508,10.70782470703125
1779706710.4990845,509,10.598694801330566
1779706718.5291765,510,11.42103385925293
1779706726.4423437,511,11.260348320007324
1779706735.5087924,512,11.948532104492188
1779706751.1457517,514,10.735447883605957
1779706758.9892094,515,9.619140625
1779706769.0124547,516,9.905425071716309
1779706777.1557143,517,9.944690704345703
1779706785.1300752,518,10.342277526855469
1779706792.6656415,519,10.277592658996582
1779706801.7523377,520,10.26567554473877
1779706832.0957966,524,11.51160717010498
1779706841.2724984,525,11.365434646606445
1779706888.6581988,531,11.69306468963623
1779706905.2557309,533,11.562458038330078
1779706912.7225583,534,10.496271133422852
1779706920.2323835,535,10.309295654296875
1779706927.6510623,536,10.320533752441406
1779706936.8023307,537,9.938989639282227
1779706944.142629,538,9.69952392578125
1779706951.5290775,539,10.407031059265137
1779706959.5891106,540,9.889519691467285
1779706969.2841413,541,9.86622142791748
1779706977.1974573,542,9.292214393615723
1779706984.8333192,543,9.227790832519531
1779706992.4330986,544,10.165185928344727
1779707001.7758982,545,10.640157699584961
1779707009.9057612,546,11.140661239624023
1779707017.9396186,547,10.728574752807617
1779707025.6493485,548,11.572025299072266
1779707033.116458,549,10.813275337219238
1779707050.0193155,551,11.873954772949219
1779707057.5455625,552,12.717031478881836
1779707065.1123595,553,11.06680679321289
1779707081.9792676,555,9.173566818237305
1779707097.0255497,557,9.775659561157227
1779707113.8692675,559,10.244880676269531
1779707121.4492476,560,11.006019592285156
1779707145.7393365,563,10.290519714355469
1779707153.259897,564,9.69639778137207
1779707160.8291962,565,10.45943546295166
1779707177.7901611,567,10.652395248413086
1779707185.349298,568,9.956220626831055
1779707192.8859768,569,10.345381736755371
1779707209.6995766,571,10.843924522399902
1779707224.8192298,573,11.661361694335938
1779707232.3523018,574,11.867332458496094
1779707249.245967,576,10.217986106872559
1779707256.7689142,577,9.972854614257812
1779707264.3226266,578,9.189845085144043
1779707273.4828193,579,8.928071022033691
1779707281.0293005,580,11.09667682647705
1779707288.5393872,581,12.345261573791504
1779707296.102962,582,12.223967552185059
1779707305.3062844,583,11.218740463256836
1779707312.8125799,584,11.283299446105957
1779707327.9292681,586,11.138049125671387
1779707337.2031534,587,10.774128913879395
1779707344.7259626,588,10.366876602172852
1779707369.1524434,591,9.603766441345215
1779707376.6429942,592,10.330057144165039
1779707384.1723037,593,10.29870891571045
1779707400.8859103,595,10.644981384277344
1779707408.436029,596,11.003083229064941
1779707416.005982,597,10.194360733032227
1779707423.5360303,598,10.878433227539062
1779707440.3460371,600,11.81982135772705
1779707456.1056905,602,11.016522407531738
1779707464.0858636,603,11.42528247833252
1779707473.81089,604,11.564632415771484
1779707490.0331714,606,11.390142440795898
1779707507.5803576,608,11.512042045593262
1779707522.219302,610,12.754922866821289
1779707529.553373,611,12.738519668579102
1779707538.4690921,612,12.742416381835938
1779707560.7756512,615,12.385241508483887
1779707592.5863352,619,12.324565887451172
1779707602.0010931,620,11.559176445007324
1779707609.3510458,621,11.538968086242676
1779707616.7366905,622,11.482085227966309
1779707624.0586479,623,10.98975944519043
1779707640.458954,625,9.47165584564209
1779707647.6923459,626,9.54311752319336
1779707671.955909,629,10.53719711303711
1779707679.4825885,630,9.600608825683594
1779707694.5396373,632,11.131827354431152
1779707711.2989156,634,10.83780574798584
1779707718.8322837,635,11.650552749633789
1779707743.1226285,638,12.20669937133789
1779707758.2258198,640,11.242986679077148
1779707767.469869,641,12.096199035644531
1779707775.0493114,642,11.343260765075684
1779707790.2874312,644,9.448078155517578
1779707799.6990488,645,10.04147720336914
1779707807.1528893,646,10.80594539642334
1779707814.5858145,647,10.790871620178223
1779707822.0792525,648,10.56029987335205
1779707829.7665358,649,9.0585298538208
1779707839.4092288,650,8.457415580749512
1779707847.2725763,651,8.328893661499023
1779707855.0886772,652,9.846545219421387
1779707887.719172,656,10.92458724975586
1779707895.6390681,657,11.07351303100586
1779707912.4524288,659,11.565983772277832
1779707927.6367269,661,10.11048698425293
1779707936.6093485,662,9.749311447143555
1779707944.0691595,663,10.551559448242188
1779707951.8324726,664,11.262018203735352
1779707959.600151,665,11.46042251586914
1779707968.825727,666,10.35977840423584
1779707976.0501635,667,10.11828327178955
1779707983.3490536,668,10.714986801147461
1779707990.5992844,669,11.406909942626953
1779708006.9324486,671,11.472628593444824
1779708014.5187535,672,12.162337303161621
1779708021.899195,673,12.641045570373535
1779708029.2892344,674,12.222558975219727
1779708039.0360768,675,10.891013145446777
1779708054.649308,677,11.505999565124512
1779708062.479146,678,11.751276016235352
1779708071.7957575,679,10.67671012878418
1779708086.6030567,681,10.107160568237305
1779708094.4058537,682,11.118000984191895
1779708103.9090815,683,11.169963836669922
1779708111.4724014,684,11.341533660888672
1779708119.2271876,685,10.880252838134766
1779708126.9957964,686,11.416569709777832
1779708136.4658618,687,11.62440299987793
1779708144.255986,688,11.705674171447754
1779708152.0159907,689,11.360861778259277
1779708176.4123971,692,11.044506072998047
1779708191.5924687,694,11.760763168334961
1779708208.1890335,696,12.358448028564453
1779708230.795651,699,11.95889663696289
1779708240.0024152,700,12.257889747619629
1779708247.392466,701,13.131275177001953
1779708254.752667,702,14.404951095581055
1779708262.4592204,703,13.32164192199707
1779708271.595957,704,12.77031135559082
1779708279.351285,705,12.773858070373535
1779708286.8557518,706,13.682830810546875
1779708294.4690588,707,12.76591968536377
1779708303.9059172,708,11.614607810974121
1779708311.749954,709,10.706892967224121
1779708319.7999096,710,10.718929290771484
1779708327.8227913,711,11.29262924194336
1779708353.5328267,714,11.73653793334961
1779708361.0524535,715,12.6265869140625
1779708386.0824606,718,10.646839141845703
1779708393.8826017,719,10.491564750671387
1779708411.2658255,721,10.956721305847168
1779708419.1224885,722,12.118666648864746
1779708426.9205556,723,12.450129508972168
1779708434.4324849,724,12.561037063598633
1779708443.2658124,725,11.747610092163086
1779708450.4990325,726,11.499798774719238
1779708473.8290875,729,11.34974479675293
1779708481.1490128,730,11.744619369506836
1779708489.0158117,731,11.216919898986816
1779708521.9427512,735,10.544914245605469
1779708529.8157809,736,10.566139221191406
1779708547.045852,738,11.3826904296875
1779708554.842468,739,11.48119831085205
1779708562.6790154,740,12.561668395996094
1779708572.1725473,741,11.926011085510254
1779708587.7359827,743,12.17221450805664
1779708612.8124585,746,10.836935043334961
1779708620.5891612,747,11.328636169433594
1779708636.1458917,749,11.018745422363281
1779708645.5959966,750,11.577726364135742
1779708653.3739827,751,11.68234920501709
1779708661.0824416,752,11.899797439575195
1779708668.842467,753,12.189539909362793
1779708678.4992886,754,12.747872352600098
1779708686.2458944,755,13.4674711227417
1779708694.0493946,756,12.392088890075684
1779708718.9757075,759,12.657087326049805
1779708726.7756379,760,12.750669479370117
1779708743.9491756,762,13.105001449584961
1779708759.4224966,764,11.780816078186035
1779708767.1858437,765,10.971783638000488
1779708776.5531614,766,12.366328239440918
1779708784.2992132,767,11.453254699707031
1779708799.7992156,769,10.732065200805664
1779708809.24922,770,10.712162017822266
1779708816.999145,771,11.426077842712402
1779708824.7098691,772,11.642740249633789
1779708832.432479,773,11.139936447143555
1779708840.1658986,774,12.713676452636719
1779708849.5597608,775,12.309353828430176
1779708857.3226013,776,12.641647338867188
1779708882.2891586,779,10.796113967895508
1779708890.0492795,780,11.199350357055664
1779708915.1024628,783,13.468583106994629
1779708922.9025507,784,14.162246704101562
1779708930.6857939,785,12.237170219421387
1779708947.9525979,787,10.954345703125
1779708963.4758732,789,12.829633712768555
1779708971.2192092,790,12.726015090942383
1779708980.6592202,791,10.938850402832031
1779708988.4358141,792,11.105724334716797
1779708996.4258425,793,10.403119087219238
1779709004.4125724,794,9.702569961547852
1779709014.2159371,795,10.30851936340332
1779709022.1391487,796,11.849533081054688
1779709038.0425363,798,11.771814346313477
1779709046.0092041,799,10.884822845458984
1779709055.8227706,800,11.333513259887695
1779709071.882879,802,12.537314414978027
1779709096.4258752,805,12.75532054901123
1779709103.9264698,806,12.530747413635254
1779709112.1926548,807,12.20743465423584
1779709121.9892323,808,11.276568412780762
1779709129.9692452,809,10.767070770263672
1779709145.2091975,811,10.162871360778809
1779709154.8494468,812,11.213140487670898
1779709162.711208,813,11.110054969787598
1779709178.4526906,815,11.114767074584961
1779709187.9858408,816,11.330351829528809
1779709203.589165,818,11.785880088806152
1779709228.7829065,821,12.54783821105957
1779709244.608013,823,11.283890724182129
1779709252.4313123,824,12.148767471313477
1779709262.069152,825,12.81883716583252
1779709285.5525482,828,11.99597454071045
1779709295.1325405,829,12.034456253051758
1779709310.7758503,831,12.997896194458008
1779709318.6226282,832,12.731152534484863
1779709335.9325898,834,11.943094253540039
1779709343.7025788,835,11.728631019592285
1779709351.4892092,836,11.2857027053833
1779709368.8425322,838,12.14479923248291
1779709376.7193542,839,12.74260425567627
1779709401.935932,842,11.542426109313965
1779709409.876121,843,11.479988098144531
1779709427.5793009,845,11.231459617614746
1779709435.5660603,846,10.773575782775879
1779709443.463425,847,10.511173248291016
1779709451.3501906,848,10.440869331359863
1779709469.0082407,850,11.467658042907715
1779709476.8458967,851,11.655749320983887
1779709484.7026289,852,11.710977554321289
1779709492.6025078,853,11.672351837158203
1779709509.9725556,855,13.441182136535645
1779709525.6059594,857,12.761981964111328
1779709542.9626148,859,11.741660118103027
1779709550.7892652,860,12.26838207244873
1779709558.6460536,861,13.700885772705078
1779709568.18936,862,13.44438648223877
1779709576.0525262,863,12.747373580932617
1779709608.9692695,867,12.655881881713867
1779709616.8627822,868,12.647906303405762
1779709624.6628284,869,12.4364652633667
1779709634.1504745,870,14.12240982055664
1779709657.6393275,873,11.336407661437988
1779709665.4427383,874,11.814889907836914
1779709674.8960543,875,11.867202758789062
1779709682.749315,876,12.421730041503906
1779709690.6092224,877,12.31447696685791
1779709708.0893073,879,12.051774978637695
1779709715.9826083,880,12.016247749328613
1779709723.8359342,881,12.662945747375488
1779709731.6425655,882,10.905439376831055
1779709749.0928063,884,10.340394020080566
1779709764.6660001,886,12.060598373413086
1779709774.2192643,887,11.89310359954834
1779709782.15257,888,12.351543426513672
1779709789.9292228,889,13.12594985961914
1779709797.86921,890,13.519109725952148
1779709815.776114,892,11.269407272338867
1779709823.7793586,893,11.528738021850586
1779709831.9004526,894,13.339539527893066
1779709849.7693064,896,14.104887008666992
1779709857.6907842,897,13.656429290771484
1779709872.94607,899,12.88454532623291
1779709881.8692307,900,12.154678344726562
1779709914.9425828,904,13.63652229309082
1779709922.7225878,905,12.726119995117188
1779709938.5593333,907,14.039972305297852
1779709948.1059532,908,13.560693740844727
1779709955.9194179,909,13.469409942626953
1779709963.7592592,910,12.657623291015625
1779709971.566148,911,13.489617347717285
1779709981.195888,912,14.188714981079102
1779709989.0060394,913,13.6032075881958
1779710004.6750286,915,13.659395217895508
1779710014.3327377,916,13.576146125793457
1779710022.179309,917,12.646480560302734
1779710047.4268532,920,12.878573417663574
1779710055.2058783,921,12.61355972290039
1779710063.1226149,922,12.314382553100586
1779710070.9324532,923,12.323799133300781
1779710088.4892838,925,13.17854118347168
1779710137.405922,931,14.10839557647705
1779710145.0459926,932,13.736489295959473
1779710154.5459268,933,14.392010688781738
1779710162.262742,934,13.473845481872559
1779710169.8588874,935,13.22482681274414
1779710200.759238,939,12.353544235229492
1779710224.9876559,942,11.674327850341797
1779710232.8234859,943,11.309250831604004
1779710250.1492803,945,11.922292709350586
1779710273.4426827,948,13.831780433654785
1779710281.25598,949,13.388372421264648
1779710298.4926615,951,12.1375150680542
1779710306.195942,952,12.297599792480469
1779710313.942618,953,12.833465576171875
1779710323.402827,954,14.254719734191895
1779710338.9893963,956,14.155134201049805
1779710346.749287,957,12.830485343933105
1779710356.1659212,958,13.373208045959473
1779710363.9071953,959,13.32034683227539
1779710371.6406486,960,13.545195579528809
1779710379.3943071,961,13.389004707336426
1779710388.852575,962,13.59869384765625
1779710396.6194658,963,13.191421508789062
1779710404.4725678,964,13.762227058410645
1779710421.732794,966,13.207018852233887
