Wall time,Step,Value
1779700975.0727959,3,62.470001220703125
1779700983.9524333,5,110.08999633789062
1779700987.4461205,6,133.3800048828125
1779700995.702251,8,173.9499969482422
1779701002.5861948,10,218.4199981689453
1779701006.1476176,11,241.1699981689453
1779701011.6470935,12,264.80999755859375
1779701015.1177702,13,280.989990234375
1779701018.6031196,14,298.5299987792969
1779701022.1535735,15,322.3999938964844
1779701027.547338,16,359.2300109863281
1779701031.0804198,17,378.5400085449219
1779701034.7862482,18,402.0899963378906
1779701038.210965,19,421.42999267578125
1779701043.5235353,20,449.75
1779701050.6553066,22,488.25
1779701057.5275593,24,549.7100219726562
1779701062.9666042,25,570.27001953125
1779701082.6263332,30,622.2999877929688
1779701086.2009146,31,626.8099975585938
1779701089.8295648,32,646.1500244140625
1779701095.6758978,33,645.77001953125
1779701099.1950476,34,622.239990234375
1779701106.1854825,36,590.530029296875
1779701118.511585,39,537.4299926757812
1779701122.1650205,40,553.1500244140625
1779701130.9681191,42,483.6600036621094
1779701134.430353,43,456.9599914550781
1779701137.9562612,44,469.6499938964844
1779701143.2447815,45,426.1700134277344
1779701150.4504998,47,520.25
1779701157.762952,49,479.0799865722656
1779701162.9628196,50,583.739990234375
1779701173.448093,53,666.4000244140625
1779701178.4692597,54,685.8900146484375
1779701181.8562088,55,718.8800048828125
1779701185.202814,56,730.719970703125
1779701188.6130373,57,744.260009765625
1779701200.3582418,60,802.8300170898438
1779701203.712845,61,840.1900024414062
1779701212.2937622,63,802.1199951171875
1779701215.7195787,64,726.8499755859375
1779701219.156242,65,632.8400268554688
1779701224.1095757,66,601.8099975585938
1779701227.5749173,67,594.6799926757812
1779701230.90287,68,563.6500244140625
1779701234.2510357,69,559.530029296875
1779701243.299812,71,541.7100219726562
1779701247.0536768,72,519.3499755859375
1779701250.702937,73,495.5299987792969
1779701254.536345,74,527.9299926757812
1779701264.1797504,76,487.0199890136719
1779701271.4702652,78,529.9299926757812
1779701276.9695895,79,564.8599853515625
1779701284.0063872,81,642.75
1779701287.6229322,82,647.7999877929688
1779701296.4695418,84,752.7999877929688
1779701300.0400424,85,834.3499755859375
1779701303.6229992,86,813.5
1779701309.364699,87,754.3699951171875
1779701313.0163233,88,685.72998046875
1779701316.643269,89,648.27001953125
1779701325.7466476,91,662.4600219726562
1779701329.3395314,92,664.989990234375
1779701332.9462545,93,637.030029296875
1779701336.4597313,94,604.9099731445312
